W00201000386,IDP000038627,25 May 2015,(PA) Dihapuskan - Piutang Lunas,50.2318,24-Jun-10,5-Feb-10,12-Jun-09,"2008-181216 11 Jul 2008 JP
",B22D 18/04,"1) NICHIAS CORPORATION
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201802840,IDP000071673,22 Sep 2020,(PA) Diberi Paten,2018/11601,25-Oct-18,18-Apr-18,18-Apr-18,"JP2017-085600 24 Apr 2017 JP
","H01M 10/04,H01M 4/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201802853,,18 Apr 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/11611,25-Oct-18,,-,"2017-083775 20 Apr 2017 JP
",F02M 27/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201802892,IDP000070679,18 Aug 2020,(PA) Diberi Paten,2018/11577,25-Oct-18,19-Apr-18,19-Apr-18,"2017-084849 21 Apr 2017 JP
","B60K 6/36,B60K 6/54,B60K 6/52,B60K 6/442,B60K 6/40",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201802965,,20 Apr 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11642,2-Nov-18,,-,"2017-090091 28 Apr 2017 JP
",H01M 10/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201802985,IDP000070497,12 Aug 2020,(PA) Diberi Paten,2018/11619,25-Oct-18,23-Apr-18,23-Apr-18,"2017-085545 24 Apr 2017 JP
",F16F 15/14,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201802945,,23 Apr 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11614,25-Oct-18,,-,"2017-086424 25 Apr 2017 JP
",F01N 3/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803026,,25 Apr 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11644,2-Nov-18,,-,"2017-088148 27 Apr 2017 JP
","G01R 31/36,H01M 10/48",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803027,,25 Apr 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11670,2-Nov-18,,-,"2017-090781 28 Apr 2017 JP
",E06B 3/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803028,IDP000071085,26 Aug 2020,(PA) Diberi Paten,2018/11684,2-Nov-18,25-Apr-18,25-Apr-18,"2017-088037 27 Apr 2017 JP
",F02M 51/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803088,IDP000070612,14 Aug 2020,(PA) Diberi Paten,2018/11687,2-Nov-18,26-Apr-18,26-Apr-18,"2017-089411 28 Apr 2017 JP
",H02P 21/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803089,IDP000070613,14 Aug 2020,(PA) Diberi Paten,2018/11688,2-Nov-18,26-Apr-18,26-Apr-18,"2017-089914 28 Apr 2017 JP
","B60K 6/445,B60W 10/10,B60W 20/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803090,IDP000071546,18 Sep 2020,(PA) Diberi Paten,2018/11689,2-Nov-18,26-Apr-18,26-Apr-18,"2017-090358 28 Apr 2017 JP
",B62D 25/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803176,,30 Apr 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12056,9-Nov-18,,-,"2017-091246 01 May 2017 JP
",G06F 17/30,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803272,IDP000069244,19 Jun 2020,(PA) Diberi Paten,2018/09003,16-Aug-18,4-May-18,27-Oct-16,"2015-218484 06 Nov 2015 JP
","B22C 15/02,B22C 9/02","SINTOKOGIO, LTD.
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201803273,IDP000070864,24 Aug 2020,(PA) Diberi Paten,2018/09019,16-Aug-18,4-May-18,25-Oct-16,"2015-218764 06 Nov 2015 JP
","B22C 1/02,B22C 5/04","SINTOKOGIO, LTD.
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201803372,,09 May 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/06821,13-Sep-19,,-,"2018-041352 07 Mar 2018 JP
",G06F 1/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201803454,,14 May 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/12260,16-Nov-18,,-,"2017-096938 16 May 2017 JP
",D01F 9/08,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803459,,14 May 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12245,16-Nov-18,,-,"2017-096680 15 May 2017 JP
",F16F 15/14,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803493,IDP000069182,17 Jun 2020,(PA) Diberi Paten,2018/12331,23-Nov-18,15-May-18,15-May-18,"2017-098130 17 May 2017 JP
","H01L 23/31,H02K 7/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803652,IDP000070867,24 Aug 2020,(PA) Diberi Paten,2018/12420,23-Nov-18,21-May-18,21-May-18,"2017-101375 23 May 2017 JP
",F02M 33/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803665,,21 May 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/12428,23-Nov-18,,-,"JP 2017-100970 22 May 2017 JP
","H01M 10/28,H01M 10/36",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201803797,,24 May 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12485,30-Nov-18,,-,"2017-104251 26 May 2017 JP
","B60L 11/14,B60K 6/20,B60R 16/04,G08G 1/16",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803802,,24 May 2018,(PA) Dianggap Ditarik Kembali (Direktur),2018/12460,30-Nov-18,,-,"JP2017-104027 25 May 2017 JP
","B60K 23/02,F16D 25/06,F16D 25/12",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201803818,,25 May 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12661,7-Dec-18,,-,"2017-109296 01 Jun 2017 JP
","H01M 10/0562,H01M 10/39,H01M 4/58",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803848,,28 May 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/12620,7-Dec-18,,-,"JP 2017-108535 31 May 2017 JP
",B60R 16/04,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803939,,30 May 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12617,7-Dec-18,,-,"2017-109945 02 Jun 2017 JP
",G08G 1/09,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201803940,IDP000070368,07 Aug 2020,(PA) Diberi Paten,2018/12662,7-Dec-18,30-May-18,30-May-18,"2017-110380 02 Jun 2017 JP
","F02D 21/08,F02D 41/38,F02D 41/40,F02D 43/00,F02D 45/00","KABUSHIKI KAISHA TOYOTA JIDOSHOKKI
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201804056,,04 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12761,7-Dec-18,,-,"2017-111675 06 Jun 2017 JP
",G08G 1/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804176,,06 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/13175,31-Dec-18,,-,"2017-121457 21 Jun 2017 JP
",B23K 26/21,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201804228,,07 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/13055,21-Dec-18,,-,"2017-116912 14 Jun 2017 JP
",G06F 3/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804208,,07 Jun 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/12796,14-Dec-18,,-,"JP 2017-112985 07 Jun 2017 JP
","B60K 17/22,F16C 3/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804311,,07 Jun 2018,(PA) Pemeriksa Substantif,2019/01913,15-Mar-19,,-,"JP 2017-120826 20 Jun 2017 JP
",H01M 4/139,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804317,,07 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/13176,31-Dec-18,,-,"2017-120723 20 Jun 2017 JP
",B23K 26/21,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804318,IDP000070683,18 Aug 2020,(PA) Diberi Paten,2018/13171,31-Dec-18,7-Jun-18,7-Jun-18,"2017-121459 21 Jun 2017 JP
","B21K 23/00,B23D 11/00,B23D 13/00,B23D 3/02,B23P 15/00,B23P 23/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804388,IDP000072405,23 Oct 2020,(PA) Diberi Paten,2018/13173,31-Dec-18,21-Jun-18,21-Jun-18,"JP 2017-122740 23 Jun 2017 JP
","H01M 4/00,H01M 8/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804506,,25 Jun 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2018/13232,31-Dec-18,,-,"JP 2017-124667 26 Jun 2017 JP
","F16H 48/22,F16H 48/24,F16H 48/34",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804593,,26 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/13233,31-Dec-18,,-,"JP 2017-125996 28 Jun 2017 JP
",H01M 8/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804594,,26 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00894,1-Feb-19,,-,"JP2017-141733 21 Jul 2017 JP
",F02D 41/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804652,IDP000071557,18 Sep 2020,(PA) Diberi Paten,2018/13242,31-Dec-18,28-Jun-18,28-Jun-18,"2018-014161 30 Jan 2018 JP
",C22C 38/00,"TOYOTA JIDOSHA KABUSHIKI KAISHA
TOHOKU UNIVERSITY"
P00201804814,,04 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00085,11-Jan-19,,-,"2017-133106 06 Jul 2017 JP
",H01M 10/00,"SHIN-ETSU CHEMICAL CO., LTD
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201804826,,04 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00088,11-Jan-19,,-,"JP 2017-132744 06 Jul 2017 JP
",H01L 23/48,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804871,IDP000069187,17 Jun 2020,(PA) Diberi Paten,2019/00322,18-Jan-19,5-Jul-18,5-Jul-18,"2017-134754 10 Jul 2017 JP
",H01M 10/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201804929,,09 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00321,18-Jan-19,,-,"JP2017-135044 10 Jul 2017 JP
",B60K 17/344,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805173,,13 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00333,18-Jan-19,,-,"JP 2017-138543 14 Jul 2017 JP
","B60K 17/344,F16D 28/00,F16H 25/20,F16H 25/22",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805251,,16 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00880,1-Feb-19,,-,"JP 2017-141352 20 Jul 2017 JP
",B60W 10/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805253,,16 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00500,25-Jan-19,,-,"2017-139353 18 Jul 2017 JP
","H01M 10/26,H01M 4/66",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805473,,23 Jul 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/00867,1-Feb-19,,-,"2017-144708 26 Jul 2017 JP
","B62D 25/06,B62D 25/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805520,IDP000070622,14 Aug 2020,(PA) Diberi Paten,2019/00888,1-Feb-19,24-Jul-18,24-Jul-18,"2017-144698 26 Jul 2017 JP
","H01M 8/04089,H01M 8/0438,H01M 8/04746","TOYOTA JIDOSHA KABUSHIKI

KAISHA"
P00201805529,IDP000071830,28 Sep 2020,(PA) Diberi Paten,2019/00884,1-Feb-19,24-Jul-18,24-Jul-18,"2017-145828 27 Jul 2017 JP
",H01M 10/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805690,,30 Jul 2018,(PA) Dianggap Ditarik Kembali (Direktur),2019/00978,8-Feb-19,,-,"2017-148886 01 Aug 2017 JP
","B60T 7/12,B60W 30/09,B60R 21/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805676,IDP000072412,23 Oct 2020,(PA) Diberi Paten,2019/00892,1-Feb-19,30-Jul-18,30-Jul-18,"JP 2017-147918 31 Jul 2017 JP
",G08G 1/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805768,IDP000073241,26 Nov 2020,(PA) Pembuatan Sertifikat,2019/01270,22-Feb-19,2-Aug-18,2-Aug-18,"2017-155221 10 Aug 2017 JP
","H01M 10/52,H01M 4/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805766,,02 Aug 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/00979,8-Feb-19,,-,"JP 2017-151871 04 Aug 2017 JP
",-,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201805793,,02 Aug 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,-,15-Feb-19,,-,"JP2017-153471 08 Aug 2017 JP
","F01P 3/20,F01P 7/16",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805811,,03 Aug 2018,(PA) Pemeriksa Substantif,2019/01086,15-Feb-19,,-,"2017-152229 07 Aug 2017 JP
",B60R 7/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805815,,03 Aug 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01088,15-Feb-19,,-,"2017-152636 07 Aug 2017 JP
","B60R 13/02,B60R 21/213,B62D 25/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805813,,03 Aug 2018,(PA) Pemeriksa Substantif,2019/01087,15-Feb-19,,-,"2017-152684 07 Aug 2017 JP
",B60K 37/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805840,,06 Aug 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01114,15-Feb-19,,-,"2018-084247 25 Apr 2018 JP
",-,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201805836,,06 Aug 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/01112,15-Feb-19,,-,"2017-154040 09 Aug 2017 JP
",B60N 2/00,"TOYOTA BOSHOKU KABUSHIKI KAISHA
TOYOTA JIDOSHA KABUSHIKI KAISHA"
PID201806238,IDP000071313,08 Sep 2020,(PA) Diberi Paten,2019/01556,1-Mar-19,16-Aug-18,16-Aug-18,"2017-158941 21 Aug 2017 JP
","B60R 21/231,B60R 21/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201806405,,21 Aug 2018,(PA) Kasubdit Pemeriksa,2019/01557,1-Mar-19,,-,"20I7-161206 24 Aug 2017 JP
",G01R 27/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201806525,IDP000071745,24 Sep 2020,(PA) Diberi Paten,2019/01698,8-Mar-19,27-Aug-18,27-Aug-18,"JP2017-163786 28 Aug 2017 JP
","B60K 17/02,B60K 23/02,B60K 25/02,B60K 5/04,B60K 5/12,B60K 7/00,F02B 67/00,F02B 67/04,F02F 7/00","TOYOTA JIDOSHA KABUSHIKI

KAISHA"
P00201806550,,28 Aug 2018,(PA) Pemeriksa Substantif,2019/02346,5-Apr-19,,-,"2017-191200 29 Sep 2017 JP
",-,"TOYOTA JIDOSHA KABUSHIKI

KAISHA"
P00201806551,,28 Aug 2018,(PA) Pemeriksa Substantif,2019/02529,12-Apr-19,,-,"2017-195270 05 Oct 2017 JP
","H02K 1/27,H02K 15/03",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201806702,,30 Aug 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/02038,22-Mar-19,,-,"2017-169400 04 Sep 2017 JP
",B23K 26/08,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201806766,,31 Aug 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02043,22-Mar-19,,-,"JP2017-168575 01 Sep 2017 JP
","B62D 21/00,B62D 25/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201806801,IDP000071747,24 Sep 2020,(PA) Diberi Paten,2019/02044,22-Mar-19,3-Sep-18,3-Sep-18,"2017-170425 05 Sep 2017 JP
","B60R 22/28,B60R 22/44,B60R 22/46",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201806848,,04 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02057,22-Mar-19,,-,"2017-170356 05 Sep 2017 JP
",F16F 15/14,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201806989,,10 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02078,22-Mar-19,,-,"2017-179337 19 Sep 2017 JP
",H01M 4/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807127,,13 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02117,29-Mar-19,,-,"2017-177592 15 Sep 2017 JP
",B60R 19/04,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807124,,13 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02115,29-Mar-19,,-,"2017-177895 15 Sep 2017 JP
",H02K 1/27,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807125,,13 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02116,29-Mar-19,,-,"JP 2017-178363 15 Sep 2017 JP
",F28F 13/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807221,,17 Sep 2018,(PA) Pelayanan Teknis,2019/02120,29-Mar-19,,-,"2017-180523 20 Sep 2017 JP
",H02J 50/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807220,,17 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02119,29-Mar-19,,-,"2017-181508 21 Sep 2017 JP
",H01M 10/0562,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807206,,17 Sep 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/02118,29-Mar-19,,-,"JP2017-178593 19 Sep 2017 JP
","B60K 1/04,B60L 11/18",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807230,,17 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02121,29-Mar-19,,-,"JP2017-180600 20 Sep 2017 JP
",H02M 3/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807252,,18 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02124,29-Mar-19,,-,"2017-180670 20 Sep 2017 JP
","B60N 2/427,B60R 21/207",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807335,,19 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/04148,14-Jun-19,,-,"2017-233274 05 Dec 2017 JP
",B60L 11/12,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807478,IDP000070783,18 Aug 2020,(PA) Diberi Paten,2019/02208,29-Mar-19,24-Sep-18,24-Sep-18,"2017-186791 27 Sep 2017 JP
","B60R 25/24,G07C 9/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807454,,24 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02337,5-Apr-19,,-,"2017-190692 29 Sep 2017 JP
","F16G 5/00,F16G 5/16",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201807538,,25 Sep 2018,(PA) Persetujuan Direktur untuk Diberi,2019/02223,29-Mar-19,,-,"2017-186792 27 Sep 2017 JP
",G01M 17/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807642,IDP000073292,27 Nov 2020,(PA) Pembuatan Sertifikat,2019/02388,5-Apr-19,26-Sep-18,26-Sep-18,"JP 2017-188428 28 Sep 2017 JP
",H01L 21/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807658,,27 Sep 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/02531,12-Apr-19,,-,"JP 2017-192573 02 Oct 2017 JP
","B60K 17/00,B60L 11/00,B60L 3/00,B60L 9/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807659,,27 Sep 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2019/02389,5-Apr-19,,-,"JP2017-190851 29 Sep 2017 JP
",F16H 57/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807714,,28 Sep 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2019/02392,5-Apr-19,,-,"2018-027405 19 Feb 2018 JP
","C22C 38/00,H01F 1/057","TOYOTA JIDOSHA KABUSHIKI KAISHA
The University of Tokyo"
P00201807787,,01 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02532,12-Apr-19,,-,"JP2017-192740 02 Oct 2017 JP
",H01L 29/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807876,,03 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02533,12-Apr-19,,-,"JP 2017-196306 06 Oct 2017 JP
",H01L 21/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807891,,04 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02552,12-Apr-19,,-,"2017-196212 06 Oct 2017 JP
",B60W 20/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807917,,04 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02553,12-Apr-19,,-,"JP2017-196426 06 Oct 2017 JP
",H01M 2/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201807993,IDP000072645,10 Nov 2020,(PA) Diberi Paten,2019/02746,18-Apr-19,8-Oct-18,8-Oct-18,"JP2017-197228 10 Oct 2017 JP
","B23K 33/00,F16H 48/38",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808057,,10 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02747,18-Apr-19,,-,"JP 2017-198777 12 Oct 2017 JP
",B60W 10/00,"TOYOTA JIDOSHA KABUSHIKI KAISHA
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201808084,,10 Oct 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/02755,18-Apr-19,,-,"JP2017-197562 11 Oct 2017 JP
",C21D 1/18,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201808254,,16 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02975,3-May-19,,-,"2017-201940 18 Oct 2017 JP
",H02K 15/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808259,,16 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02976,3-May-19,,-,"2017-200860 17 Oct 2017 JP
","H01M 10/00,H01M 4/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201808275,IDP000072418,23 Oct 2020,(PA) Diberi Paten,2018/12562,30-Nov-18,17-Oct-18,17-Oct-18,"2017-203170 20 Oct 2017 JP
",H01M 8/04,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808334,IDP000072901,18 Nov 2020,(PA) Pembuatan Sertifikat,2019/02984,3-May-19,18-Oct-18,18-Oct-18,"2017-203743 20 Oct 2017 JP
",B60L 9/18,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201808359,,19 Oct 2018,(PA) Pemeriksa Substantif,2019/02978,3-May-19,,-,"2017-204472 23 Oct 2017 JP
",B62D 25/08,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808351,,19 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02987,3-May-19,,-,"JP2017-20372 20 Oct 2017 JP
","B60K 6/365,B60K 6/387,B60K 6/442,F16H 3/72",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808398,,22 Oct 2018,(PA) Pemeriksa Substantif,2019/02980,3-May-19,,-,"2017-204741 23 Oct 2017 JP
",B60R 25/00,"TOYOTA JIDOSHA KABUSHIKI KAISHA
Nomura Research Institute, Ltd.
Kabushiki Kaisha Tokai Rika Denki Seisakusho"
P00201808399,,22 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02982,3-May-19,,-,"JP 2017-205675 24 Oct 2017 JP
","B60R 25/10,B60R 25/24,E05B 49/00","TOYOTA JIDOSHA KABUSHIKI KAISHA
TOYOTA JIDOSHA KABUSHIKI KAISHA"
PID201808517,,24 Oct 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2019/03680,24-May-19,,-,"2017-222158 17 Nov 2017 JP
",G08G 1/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201808518,,24 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02986,3-May-19,,-,"2017-207309 26 Oct 2017 JP
",G06K 9/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808504,,24 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02985,3-May-19,,-,"2017-205678 24 Oct 2017 JP
","G06F 17/30,G06Q 10/08,G06Q 30/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808531,,24 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02988,3-May-19,,-,"JP2017-206430 25 Oct 2017 JP
","B60W 10/06,B60W 10/08,B60W 20/00,B60W 30/16,B60W 30/17,F02D 29/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808533,,24 Oct 2018,(PA) Pemeriksa Substantif,2019/02989,3-May-19,,-,"JP2017-206428 25 Oct 2017 JP
","B60W 10/06,F02D 41/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808669,,29 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03149,10-May-19,,-,"JP 2017-212083 01 Nov 2017 JP
",G06Q 30/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808670,,29 Oct 2018,(PA) Pemeriksa Substantif,2019/04903,12-Jul-19,,-,"2017-251635 27 Dec 2017 JP
",F02B 23/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201808695,,30 Oct 2018,(PA) Pemeriksa Substantif,2019/03102,10-May-19,,-,"2017-209355 30 Oct 2017 JP
","B60P 3/00,B60R 5/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
PID201808751,,31 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03455,17-May-19,,-,"2017-213789 06 Nov 2017 JP
",-,TOYOTA JIDOSHA KABUSHIKI KAISHA
